ms,op,i
0.107372,in,11
2.110932,out,0
2.834971,out,1
3.546202,out,2
3.557098,out,3
4.176607,out,4
4.185318,out,5
4.684398,out,6
5.318863,out,7
5.975274,out,8
5.983894,out,9
6.537836,out,10
7.302222,out,11
8.141629,out,12
8.151142,out,13
9.810387,out,14
10.303206,out,15
10.318128,out,16
10.770063,out,17
10.870674,out,18
11.295760,out,19
11.305928,out,20
60.430868,in,17
61.551731,out,0
62.049429,out,1
62.061752,out,2
62.581514,out,3
62.793627,out,4
63.126487,out,5
63.745279,out,6
63.756970,out,7
64.627010,out,8
65.430790,out,9
67.056576,out,10
67.428688,out,11
67.728904,out,12
67.743794,out,13
68.248958,out,14
68.255793,out,15
68.755040,out,16
68.761768,out,17
69.344366,out,18
70.036951,out,19
70.046692,out,20
70.507646,out,21
70.513962,out,22
71.075440,out,23
71.085050,out,24
71.494212,out,25
71.665911,out,26
89.797275,in,1
92.109767,out,0
92.125833,out,1
92.694113,out,2
92.702123,out,3
93.324796,out,4
93.771787,out,5
94.229093,out,6
94.263941,out,7
94.781608,out,8
94.922799,out,9
95.328185,out,10
127.058537,in,25
128.675726,out,0
128.694778,out,1
129.600561,out,2
129.609553,out,3
130.375108,out,4
131.790729,out,5
131.807720,out,6
132.323257,out,7
132.330687,out,8
132.833631,out,9
132.840121,out,10
133.331621,out,11
133.338140,out,12
134.114553,out,13
134.126599,out,14
134.623630,out,15
134.631561,out,16
135.162249,out,17
135.664293,out,18
135.674112,out,19
136.410990,out,20
136.679711,out,21
137.063026,out,22
137.985162,out,23
138.311513,out,24
138.325521,out,25
138.623943,out,26
139.000534,out,27
139.007776,out,28
139.543713,out,29
139.552287,out,30
139.938391,out,31
139.943734,out,32
140.323551,out,33
140.328720,out,34
166.860654,in,16
168.158472,out,0
168.821668,out,1
169.461755,out,2
169.733838,out,3
171.286647,out,4
171.303216,out,5
171.911957,out,6
171.922326,out,7
172.478883,out,8
172.487058,out,9
173.047446,out,10
173.057139,out,11
173.570981,out,12
173.771506,out,13
174.116215,out,14
174.448230,out,15
174.801541,out,16
175.039712,out,17
175.311315,out,18
175.559183,out,19
176.190405,out,20
176.224096,out,21
177.136736,out,22
177.147596,out,23
177.430744,out,24
177.839021,out,25
185.175792,in,14
186.717494,out,0
186.757511,out,1
188.122160,out,2
188.582354,out,3
188.594950,out,4
189.368353,out,5
189.380590,out,6
190.021863,out,7
190.041322,out,8
190.490575,out,9
190.885556,out,10
191.894228,out,11
192.419425,out,12
192.690937,out,13
193.107940,out,14
193.120071,out,15
193.624656,out,16
193.631954,out,17
194.122248,out,18
194.128789,out,19
194.768041,out,20
194.778081,out,21
195.257763,out,22
195.265773,out,23
201.733688,in,12
202.609133,out,0
202.619915,out,1
222.418448,out,2
222.910554,out,3
222.925547,out,4
223.525998,out,5
223.536230,out,6
224.038510,out,7
224.045352,out,8
224.544765,out,9
224.551406,out,10
225.048778,out,11
225.055170,out,12
225.539466,out,13
226.119256,out,14
226.145315,out,15
226.757714,out,16
226.767264,out,17
227.181555,out,18
228.064524,out,19
228.310583,out,20
228.540688,out,21
231.292380,in,28
232.467439,out,0
232.478538,out,1
233.000947,out,2
233.007677,out,3
233.899591,out,4
233.910978,out,5
234.417420,out,6
234.424281,out,7
234.950653,out,8
234.958089,out,9
235.413698,out,10
237.805594,out,11
238.489881,out,12
238.595408,out,13
239.050946,out,14
239.063813,out,15
239.542071,out,16
239.548696,out,17
239.991946,out,18
240.328321,out,19
240.612945,out,20
240.622023,out,21
241.156260,out,22
241.422518,out,23
241.453470,out,24
241.866630,out,25
241.872270,out,26
242.263256,out,27
242.622580,out,28
248.346560,out,29
248.375542,out,30
248.887984,out,31
249.495709,out,32
249.507133,out,33
250.061815,out,34
250.069799,out,35
250.600000,out,36
250.932861,out,37
277.117023,in,21
278.311585,out,0
278.324839,out,1
278.892558,out,2
278.900601,out,3
279.625170,out,4
279.635430,out,5
280.216497,out,6
282.787532,out,7
286.636989,out,8
286.651875,out,9
287.160912,out,10
287.168967,out,11
287.712544,out,12
288.121016,out,13
288.594972,out,14
289.210466,out,15
289.220371,out,16
289.731769,out,17
290.147272,out,18
290.494509,out,19
290.952243,out,20
291.245480,out,21
291.658900,out,22
292.070419,out,23
292.296588,out,24
293.342977,out,25
293.870827,out,26
294.273559,out,27
294.284410,out,28
294.710717,out,29
294.716948,out,30
297.669374,in,17
298.534984,out,0
298.950098,out,1
298.962558,out,2
299.375113,out,3
299.609548,out,4
299.917576,out,5
300.362191,out,6
300.515334,out,7
300.968069,out,8
300.978506,out,9
301.308673,out,10
302.164273,out,11
302.589282,out,12
302.602351,out,13
303.249576,out,14
303.260593,out,15
303.784910,out,16
303.793926,out,17
304.247222,out,18
304.253483,out,19
304.700361,out,20
304.706645,out,21
305.067091,out,22
305.339741,out,23
305.682706,out,24
306.101042,out,25
306.110477,out,26
346.650699,in,5
347.611269,out,0
348.389237,out,1
348.462329,out,2
348.903951,out,3
349.252143,out,4
349.266363,out,5
349.813001,out,6
350.041264,out,7
350.464174,out,8
350.473898,out,9
350.900787,out,10
350.906658,out,11
351.302593,out,12
351.629939,out,13
351.638907,out,14
386.608154,in,8
389.944248,out,0
391.455808,out,1
391.983248,out,2
392.424535,out,3
392.437959,out,4
393.050450,out,5
393.329798,out,6
393.528160,out,7
394.034857,out,8
